job_title,location,city_tier,experience_level,experience_years_mid,company_size,remote,skills_required,salary_lpa,posted_date
DevOps Engineer,Pune,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"Docker, Kubernetes, AWS, Linux, CI/CD",30.0,2023-09-01
Data Engineer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Enterprise,False,"Airflow, Spark, Python, SQL",41.6,2023-09-01
Business Analyst,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Statistics, Communication, Excel",15.3,2023-09-01
Cloud Engineer,Bangalore,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Docker, AWS, Kubernetes",17.4,2023-09-01
DevOps Engineer,Nagpur,Tier-3,Junior (1-3 yrs),2.0,Mid-size,True,"AWS, Linux, Docker, Kubernetes",14.2,2023-09-01
Data Analyst,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,True,"Tableau, SQL, Excel, Python, Statistics",5.3,2023-09-01
Data Scientist,Nagpur,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"NLP, Statistics, SQL, Machine Learning, Python",29.2,2023-09-01
Cloud Engineer,Lucknow,Tier-2,Junior (1-3 yrs),2.0,Mid-size,False,"Linux, AWS, Azure",14.5,2023-09-01
Data Analyst,Ranchi,Tier-3,Mid (3-6 yrs),4.5,Startup,False,"SQL, Python, Power BI",10.4,2023-09-01
Frontend Developer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Enterprise,False,"JavaScript, React, TypeScript, HTML/CSS",33.9,2023-09-01
QA Engineer,Coimbatore,Tier-2,Junior (1-3 yrs),2.0,Startup,False,"SQL, Python, Manual Testing, Selenium",7.9,2023-09-01
Cloud Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Linux, Docker, Kubernetes",19.1,2023-09-01
Data Scientist,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Python, NLP, SQL, Machine Learning",22.2,2023-09-01
Backend Developer,Lucknow,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"Python, Node.js, Docker, AWS, SQL",19.8,2023-09-01
Software Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Java, System Design, Git",30.2,2023-09-01
ML Engineer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"MLOps, Deep Learning, Python",32.8,2023-09-01
Frontend Developer,Pune,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"JavaScript, HTML/CSS, React",9.4,2023-09-01
Data Scientist,Mumbai,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Deep Learning, Python, Statistics",18.3,2023-09-01
Cloud Engineer,Guwahati,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"Azure, Docker, AWS, Kubernetes, Linux",30.1,2023-09-01
Cloud Engineer,Pune,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Azure, AWS, Docker, Kubernetes",23.7,2023-09-01
Cloud Engineer,Kanpur,Tier-3,Mid (3-6 yrs),4.5,Mid-size,False,"AWS, Azure, Docker",15.7,2023-09-01
Data Engineer,Lucknow,Tier-2,Junior (1-3 yrs),2.0,Enterprise,True,"Python, AWS, Spark",19.5,2023-09-01
Product Manager,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Startup,False,"SQL, Communication, Statistics, Agile",10.9,2023-09-01
Cloud Engineer,Guwahati,Tier-3,Lead (10+ yrs),13.0,Startup,True,"AWS, Azure, Linux",22.7,2023-09-01
Product Manager,Bangalore,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,True,"Excel, Communication, Statistics",18.6,2023-09-01
Product Manager,Indore,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"SQL, Statistics, Excel",12.2,2023-09-01
Backend Developer,Jaipur,Tier-2,Mid (3-6 yrs),4.5,Startup,True,"Node.js, AWS, Python",15.6,2023-09-01
Software Engineer,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Git, Java, System Design, Python, SQL",17.3,2023-09-02
Software Engineer,Nagpur,Tier-3,Junior (1-3 yrs),2.0,Mid-size,False,"SQL, System Design, Python",10.3,2023-09-02
Backend Developer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Node.js, Python, SQL",14.8,2023-09-02
Software Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Startup,False,"System Design, Git, SQL, Python",29.0,2023-09-02
