job_title,location,city_tier,experience_level,experience_years_mid,company_size,remote,skills_required,salary_lpa,posted_date,cluster,pca_x,pca_y
DevOps Engineer,Pune,Tier-1,Senior (6-10 yrs),8.0,Mid-size,False,"Docker, Kubernetes, AWS, Linux, CI/CD",30.0,2023-09-01,4,1.6666460388166409,-0.47571213905078036
Data Engineer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Enterprise,False,"Airflow, Spark, Python, SQL",41.6,2023-09-01,1,-0.4291238776305589,0.8342509904540648
Business Analyst,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Statistics, Communication, Excel",15.3,2023-09-01,0,-0.6510685880117535,-1.128656503810912
Cloud Engineer,Bangalore,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Docker, AWS, Kubernetes",17.4,2023-09-01,4,1.2276851819548409,-0.2675719966083664
DevOps Engineer,Nagpur,Tier-3,Junior (1-3 yrs),2.0,Mid-size,True,"AWS, Linux, Docker, Kubernetes",14.2,2023-09-01,4,1.520875549175707,-0.4071951591453201
Data Analyst,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Enterprise,True,"Tableau, SQL, Excel, Python, Statistics",5.3,2023-09-01,0,-1.0718313392115553,-0.005943257074703778
Data Scientist,Nagpur,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"NLP, Statistics, SQL, Machine Learning, Python",29.2,2023-09-01,5,-0.7674839099404076,0.446456536837598
Cloud Engineer,Lucknow,Tier-2,Junior (1-3 yrs),2.0,Mid-size,False,"Linux, AWS, Azure",14.5,2023-09-01,4,0.9650947466275086,-0.33978702249523557
Data Analyst,Ranchi,Tier-3,Mid (3-6 yrs),4.5,Startup,False,"SQL, Python, Power BI",10.4,2023-09-01,1,-0.5978662903340755,0.44731390256556447
Frontend Developer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Enterprise,False,"JavaScript, React, TypeScript, HTML/CSS",33.9,2023-09-01,2,0.20368822205144316,-0.7368220004017421
QA Engineer,Coimbatore,Tier-2,Junior (1-3 yrs),2.0,Startup,False,"SQL, Python, Manual Testing, Selenium",7.9,2023-09-01,3,-0.5433531840911712,0.8844988948686637
Cloud Engineer,Bangalore,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Linux, Docker, Kubernetes",19.1,2023-09-01,4,1.10265146542647,-0.5366186042537653
Data Scientist,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Python, NLP, SQL, Machine Learning",22.2,2023-09-01,5,-0.45419556644227443,0.7370785544826797
Backend Developer,Lucknow,Tier-2,Senior (6-10 yrs),8.0,Mid-size,False,"Python, Node.js, Docker, AWS, SQL",19.8,2023-09-01,1,0.4261557708173348,0.8469188316863282
Software Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Java, System Design, Git",30.2,2023-09-01,6,-0.01624726780164118,0.05299071736446792
ML Engineer,Mumbai,Tier-1,Senior (6-10 yrs),8.0,Startup,False,"MLOps, Deep Learning, Python",32.8,2023-09-01,7,0.04890704532228775,0.5047270423038441
Frontend Developer,Pune,Tier-1,Fresher (0-1 yrs),0.5,Startup,False,"JavaScript, HTML/CSS, React",9.4,2023-09-01,2,0.18098509203574453,-0.6182798414254126
Data Scientist,Mumbai,Tier-1,Fresher (0-1 yrs),0.5,Mid-size,False,"Deep Learning, Python, Statistics",18.3,2023-09-01,5,-0.3182309685974052,0.16497004861229775
Cloud Engineer,Guwahati,Tier-3,Lead (10+ yrs),13.0,Enterprise,False,"Azure, Docker, AWS, Kubernetes, Linux",30.1,2023-09-01,4,1.661670717665056,-0.47408132251909957
Cloud Engineer,Pune,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Azure, AWS, Docker, Kubernetes",23.7,2023-09-01,4,1.3684803504441898,-0.3344581599821459
Cloud Engineer,Kanpur,Tier-3,Mid (3-6 yrs),4.5,Mid-size,False,"AWS, Azure, Docker",15.7,2023-09-01,4,1.07645668052923,-0.19480924680815698
Data Engineer,Lucknow,Tier-2,Junior (1-3 yrs),2.0,Enterprise,True,"Python, AWS, Spark",19.5,2023-09-01,1,0.39998126681715973,0.6058896816691957
Product Manager,Guwahati,Tier-3,Fresher (0-1 yrs),0.5,Startup,False,"SQL, Communication, Statistics, Agile",10.9,2023-09-01,0,-0.8875285416709073,-0.692914566182788
Cloud Engineer,Guwahati,Tier-3,Lead (10+ yrs),13.0,Startup,True,"AWS, Azure, Linux",22.7,2023-09-01,4,0.9650947466275086,-0.33978702249523557
Product Manager,Bangalore,Tier-1,Fresher (0-1 yrs),0.5,Enterprise,True,"Excel, Communication, Statistics",18.6,2023-09-01,0,-0.6510685880117535,-1.128656503810912
Product Manager,Indore,Tier-2,Fresher (0-1 yrs),0.5,Mid-size,False,"SQL, Statistics, Excel",12.2,2023-09-01,0,-0.8751124263012662,-0.6131420837562437
Backend Developer,Jaipur,Tier-2,Mid (3-6 yrs),4.5,Startup,True,"Node.js, AWS, Python",15.6,2023-09-01,1,0.4339300533155275,0.5924682483302596
Software Engineer,Hyderabad,Tier-1,Mid (3-6 yrs),4.5,Startup,False,"Git, Java, System Design, Python, SQL",17.3,2023-09-02,6,-0.5610194029198926,0.9349336102039619
Software Engineer,Nagpur,Tier-3,Junior (1-3 yrs),2.0,Mid-size,False,"SQL, System Design, Python",10.3,2023-09-02,6,-0.4751965780819567,0.7246735397435481
Backend Developer,Hyderabad,Tier-1,Junior (1-3 yrs),2.0,Enterprise,False,"Node.js, Python, SQL",14.8,2023-09-02,1,-0.3966206140544898,0.712140773427758
Software Engineer,Mumbai,Tier-1,Lead (10+ yrs),13.0,Startup,False,"System Design, Git, SQL, Python",29.0,2023-09-02,6,-0.5181696012998224,0.8301328109115155
Backend Developer,Indore,Tier-2,Senior (6-10 yrs),8.0,Startup,False,"SQL, AWS, Docker, Python",20.2,2023-09-02,1,0.3908893769216294,0.7540198094051164
Business Analyst,Coimbatore,Tier-2,Junior (1-3 yrs),2.0,Enterprise,True,"Communication, Excel, SQL",9.8,2023-09-02,0,-0.7501068281344004,-0.5889385159598867
Product Manager,Mumbai,Tier-1,Junior (1-3 yrs),2.0,Mid-size,False,"Statistics, Agile, Excel, Communication",21.2,2023-09-02,0,-0.7375845844005358,-1.2509254310128894
DevOps Engineer,Indore,Tier-2,Mid (3-6 yrs),4.5,Enterprise,False,"AWS, Kubernetes, Docker, Linux",24.0,2023-09-02,4,1.520875549175707,-0.4071951591453201
Backend Developer,Kanpur,Tier-3,Mid (3-6 yrs),4.5,Mid-size,True,"Node.js, AWS, Docker",12.0,2023-09-02,1,0.9709279059355863,-0.035024061153165864
Software Engineer,Delhi-NCR,Tier-1,Lead (10+ yrs),13.0,Startup,False,"Python, System Design, Java, Git",29.7,2023-09-02,6,-0.1486928192991124,0.6858376399980183
Product Manager,Chandigarh,Tier-2,Mid (3-6 yrs),4.5,Enterprise,False,"Statistics, SQL, Excel, Agile",22.1,2023-09-02,0,-0.9616284226900484,-0.7354110109582215
Data Engineer,Nagpur,Tier-3,Senior (6-10 yrs),8.0,Mid-size,False,"AWS, Airflow, SQL",20.9,2023-09-02,1,0.12022815021881164,0.22450705730881193
